$TRUEGAZE_TITLE	True Gaze
$TRUEGAZE_PAGE_GENERAL	General Settings
$TRUEGAZE_PAGE_BRIDGE	HCEP Connected Mode
$TRUEGAZE_HEADER_ENGINE	True Gaze - Biomechanical Engine
$TRUEGAZE_ENABLE_MOD	Enable True Gaze
$TRUEGAZE_ENABLE_MOD_DESC	Toggles the biological oculomotor kinematics engine on or off across Skyrim.
$TRUEGAZE_ENABLE_CREATURES	Enable Creature Gaze
$TRUEGAZE_ENABLE_CREATURES_DESC	Enables specialized predator, prey, and dragon gaze kinematics for animals and monsters.
$TRUEGAZE_HEADER_KINEMATICS	Kinematics & Biological Dynamics
$TRUEGAZE_SACCADE_SPEED	Saccade Velocity Multiplier
$TRUEGAZE_SACCADE_SPEED_DESC	Adjusts peak velocity of ballistic eye jumps. Normal human range: 700 to 900 deg/s.
$TRUEGAZE_MICRO_JITTER	Micro-Saccadic Jitter Amplitude
$TRUEGAZE_MICRO_JITTER_DESC	Controls amplitude of continuous Brownian drift preventing visual freezing.
$TRUEGAZE_HEADER_SOCIAL	Social Dynamics & HCEP Modes
$TRUEGAZE_GAZE_AVERSION	Cognitive Gaze Aversion (THINK Mode)
$TRUEGAZE_GAZE_AVERSION_DESC	NPCs break eye contact naturally when thinking or processing complex dialogue.
$TRUEGAZE_SOCIAL_TRIANGLE	Social Triangle Scanning (AFFECT Mode)
$TRUEGAZE_SOCIAL_TRIANGLE_DESC	NPCs cycle gaze between eyes and mouth during conversational speech.
$TRUEGAZE_HEADER_HCEP	HCEP Desktop Live Perception Sync
$TRUEGAZE_CONNECT_HCEP	Connect to HCEP Desktop (Named Pipe)
$TRUEGAZE_CONNECT_HCEP_DESC	Connects to Kirk LaSalle's HCEP Desktop suite via \\.\pipe\TrueGazeBridge to stream real webcam/Kinect gaze.
$TRUEGAZE_MUTUAL_GAZE	Mutual Gaze Threshold (Seconds)
$TRUEGAZE_MUTUAL_GAZE_DESC	Seconds of unbroken mutual eye contact required to trigger social and intimate dialogue reactions.
$TRUEGAZE_HEADER_DEBUG	Diagnostics & Visualizers
$TRUEGAZE_DEBUG_RAYS	Show In-Game Gaze Rays (Debug)
$TRUEGAZE_DEBUG_RAYS_DESC	Draws 3D colored line-of-sight rays in the game world indicating where NPCs are looking.
