$TRUEGAZE_TITLE	True Gaze
$TRUEGAZE_PAGE_GENERAL	Allgemeine Einstellungen
$TRUEGAZE_PAGE_BRIDGE	HCEP Verbundener Modus
$TRUEGAZE_HEADER_ENGINE	True Gaze - Biomechanische Engine
$TRUEGAZE_ENABLE_MOD	True Gaze aktivieren
$TRUEGAZE_ENABLE_MOD_DESC	Aktiviert oder deaktiviert die biologische Blickmotorik-Engine in ganz Skyrim.
$TRUEGAZE_ENABLE_CREATURES	Kreaturen-Blick aktivieren
$TRUEGAZE_ENABLE_CREATURES_DESC	Aktiviert spezialisierte Blickkinematiken für Raubtiere, Beutetiere und Drachen.
$TRUEGAZE_HEADER_KINEMATICS	Kinematik & Biologische Dynamik
$TRUEGAZE_SACCADE_SPEED	Sakkadengeschwindigkeit-Multiplikator
$TRUEGAZE_SACCADE_SPEED_DESC	Passt die Spitzengeschwindigkeit ballistischer Blicksprünge an (700 bis 900 Grad/s beim Menschen).
$TRUEGAZE_MICRO_JITTER	Mikrosakkaden-Zitteramplitude
$TRUEGAZE_MICRO_JITTER_DESC	Steuert die Amplitude der kontinuierlichen Brownschen Drift zur Vermeidung von Starrblicken.
$TRUEGAZE_HEADER_SOCIAL	Soziale Dynamik & HCEP-Modi
$TRUEGAZE_GAZE_AVERSION	Kognitive Blickabwendung (THINK-Modus)
$TRUEGAZE_GAZE_AVERSION_DESC	NPCs wenden den Blick natürlich ab, wenn sie nachdenken oder komplexe Dialoge verarbeiten.
$TRUEGAZE_SOCIAL_TRIANGLE	Soziales Dreiecks-Abtasten (AFFECT-Modus)
$TRUEGAZE_SOCIAL_TRIANGLE_DESC	NPCs wechseln den Blick während des Gesprächs rhythmisch zwischen Augen und Mund.
$TRUEGAZE_HEADER_HCEP	HCEP Desktop Live-Perzeptions-Synchronisation
$TRUEGAZE_CONNECT_HCEP	Mit HCEP Desktop verbinden (Named Pipe)
$TRUEGAZE_CONNECT_HCEP_DESC	Verbindet sich über \\.\pipe\TrueGazeBridge mit Kirk LaSalles HCEP Desktop Suite.
$TRUEGAZE_MUTUAL_GAZE	Schwelle für gegenseitigen Blickkontakt (Sekunden)
$TRUEGAZE_MUTUAL_GAZE_DESC	Sekunden ununterbrochenen Blickkontakts, die für soziale und vertraute Reaktionen erforderlich sind.
$TRUEGAZE_HEADER_DEBUG	Diagnose & Visualisierung
$TRUEGAZE_DEBUG_RAYS	Blickstrahlen im Spiel anzeigen (Debug)
$TRUEGAZE_DEBUG_RAYS_DESC	Zeichnet 3D-Sichtlinienstrahlen in die Spielwelt, um zu zeigen, wohin NPCs blicken.
