$TRUEGAZE_TITLE	True Gaze
$TRUEGAZE_PAGE_GENERAL	通用设置
$TRUEGAZE_PAGE_BRIDGE	HCEP 联动模式
$TRUEGAZE_HEADER_ENGINE	True Gaze - 生物力学注视引擎
$TRUEGAZE_ENABLE_MOD	启用 True Gaze
$TRUEGAZE_ENABLE_MOD_DESC	开启或关闭天际省生物学生理视线运动学引擎。
$TRUEGAZE_ENABLE_CREATURES	启用生物视线
$TRUEGAZE_ENABLE_CREATURES_DESC	启用掠食者、猎物与巨龙专用的眼动视线运动学。
$TRUEGAZE_HEADER_KINEMATICS	运动学与生物动力学
$TRUEGAZE_SACCADE_SPEED	扫视速度倍率
$TRUEGAZE_SACCADE_SPEED_DESC	调整弹道式眼球跳跃峰值速度（人类正常范围：700 至 900 度/秒）。
$TRUEGAZE_MICRO_JITTER	微扫视抖动幅度
$TRUEGAZE_MICRO_JITTER_DESC	控制防止死鱼眼定格的持续布朗运动漂移幅度。
$TRUEGAZE_HEADER_SOCIAL	社交动态与 HCEP 模式
$TRUEGAZE_GAZE_AVERSION	认知注视回避（THINK 模式）
$TRUEGAZE_GAZE_AVERSION_DESC	NPC在思考或处理复杂对话时自然移开视线。
$TRUEGAZE_SOCIAL_TRIANGLE	社交三角扫描（AFFECT 模式）
$TRUEGAZE_SOCIAL_TRIANGLE_DESC	NPC在交谈中在双眼与嘴唇之间循环注视。
$TRUEGAZE_HEADER_HCEP	HCEP 桌面端实时感知同步
$TRUEGAZE_CONNECT_HCEP	连接至 HCEP 桌面端（命名管道）
$TRUEGAZE_CONNECT_HCEP_DESC	通过 \\\\.\\pipe\\TrueGazeBridge 连接至 Kirk LaSalle 的 HCEP 桌面套件。
$TRUEGAZE_MUTUAL_GAZE	相互注视阈值（秒）
$TRUEGAZE_MUTUAL_GAZE_DESC	触发社交与亲密反应所需的持续对视秒数。
$TRUEGAZE_HEADER_DEBUG	诊断与可视化
$TRUEGAZE_DEBUG_RAYS	显示视线射线（调试）
$TRUEGAZE_DEBUG_RAYS_DESC	在游戏世界中绘制3D视线射线，显示NPC的注视目标。
