$TRUEGAZE_TITLE	True Gaze
$TRUEGAZE_PAGE_GENERAL	Ajustes Generales
$TRUEGAZE_PAGE_BRIDGE	Modo Conectado HCEP
$TRUEGAZE_HEADER_ENGINE	True Gaze - Motor Biomecánico
$TRUEGAZE_ENABLE_MOD	Activar True Gaze
$TRUEGAZE_ENABLE_MOD_DESC	Activa o desactiva el motor de cinemática ocular biológica en todo Skyrim.
$TRUEGAZE_ENABLE_CREATURES	Activar Mirada de Criaturas
$TRUEGAZE_ENABLE_CREATURES_DESC	Activa cinemáticas oculares especializadas para depredadores, presas y dragones.
$TRUEGAZE_HEADER_KINEMATICS	Cinemática & Dinámica Biológica
$TRUEGAZE_SACCADE_SPEED	Multiplicador de Velocidad Sacádica
$TRUEGAZE_SACCADE_SPEED_DESC	Ajusta la velocidad máxima de los saltos oculares balísticos (700 a 900 grados/s en humanos).
$TRUEGAZE_MICRO_JITTER	Amplitud de Micro-Temblor Sacádico
$TRUEGAZE_MICRO_JITTER_DESC	Controla la amplitud del desplazamiento browniano continuo evitando la mirada fija.
$TRUEGAZE_HEADER_SOCIAL	Dinámica Social & Modos HCEP
$TRUEGAZE_GAZE_AVERSION	Aversión Cognitiva de la Mirada (Modo THINK)
$TRUEGAZE_GAZE_AVERSION_DESC	Los PNJ desvían la mirada de forma natural cuando piensan o procesan diálogos complejos.
$TRUEGAZE_SOCIAL_TRIANGLE	Escaneo de Triángulo Social (Modo AFFECT)
$TRUEGAZE_SOCIAL_TRIANGLE_DESC	Los PNJ alternan la mirada entre ojos y boca durante una conversación empática.
$TRUEGAZE_HEADER_HCEP	Sincronización de Percepción HCEP Desktop
$TRUEGAZE_CONNECT_HCEP	Conectar a HCEP Desktop (Named Pipe)
$TRUEGAZE_CONNECT_HCEP_DESC	Se conecta a la suite HCEP Desktop de Kirk LaSalle mediante \\.\pipe\TrueGazeBridge.
$TRUEGAZE_MUTUAL_GAZE	Umbral de Mirada Mutua (Segundos)
$TRUEGAZE_MUTUAL_GAZE_DESC	Segundos de contacto visual ininterrumpido necesarios para desencadenar reacciones íntimas.
$TRUEGAZE_HEADER_DEBUG	Diagnósticos & Visualizadores
$TRUEGAZE_DEBUG_RAYS	Mostrar Rayos de Mirada (Debug)
$TRUEGAZE_DEBUG_RAYS_DESC	Dibuja rayos 3D de línea de visión en el mundo para mostrar hacia dónde miran los PNJ.
